상품명,채널구분,통합판매수량,국내판매수량,해외판매수량,통합매출_KRW,국내매출_KRW,해외매출_KRW환산,평균단가_KRW,총주문건수,국내주문건수,해외주문건수,최초판매일,시즌
Stilla Lace L/S Ivory,공통,166.0,130.0,36.0,10806855.6875,7293000.0,3513855.6875,65101.54028614458,166.0,130.0,36.0,2025-09-10,25 FW 01
Ribbon Logo Slim Tee Navy,공통,161.0,138.0,23.0,5219265.154291541,3629160.0,1590105.1542915415,32417.795989388454,159.0,137.0,22.0,2025-01-14,캐리오버
Removable Shearling Knit Hoodie Zip Brown,공통,159.0,110.0,49.0,22169826.041666668,14671000.0,7498826.041666667,139432.8681865828,159.0,110.0,49.0,2025-09-10,25 FW 01
Ribbon Logo Slim Tee White,공통,161.0,150.0,11.0,4555899.891666667,3774470.0,781429.8916666666,28297.514855072463,155.0,145.0,10.0,2025-01-17,캐리오버
Leopard Dimsum Bag Beige,공통,152.0,75.0,77.0,23863156.208333336,9344160.0,14518996.208333334,156994.4487390351,152.0,75.0,77.0,2025-09-07,25 FW 가방 1차
Butterfly Angel Dress Ivory,공통,146.0,129.0,17.0,9086626.041666666,7657065.0,1429561.0416666667,62237.164668949765,146.0,129.0,17.0,2025-05-17,25 SS 02
Wool Check Hoodie Jacket Navy,공통,143.0,130.0,13.0,25086826.25,22981100.0,2105726.25,175432.3513986014,143.0,130.0,13.0,2025-01-01,24 홀리데이컬렉션
Dot Cozy Bao Bag Skyblue,공통,142.0,122.0,20.0,8679304.4,6506520.0,2172784.4,61121.861971830986,142.0,122.0,20.0,2025-05-17,25 SS 02
Star Lace Hand Warmer,공통,132.0,110.0,22.0,2777964.3488095235,1373520.0,1404444.3488095235,21045.184460678207,129.0,107.0,22.0,2025-05-17,25 SS 02
Washed Leopard Dumpling Bag Pink,공통,120.0,59.0,61.0,18738607.541666664,7622800.0,11115807.541666666,156155.0628472222,120.0,59.0,61.0,2025-09-07,25 FW 가방 1차
Leather Bao Bag Brown,공통,117.0,114.0,3.0,6661318.5,6381222.0,280096.5,56934.346153846156,117.0,114.0,3.0,2025-01-01,24 홀리데이컬렉션
Stripe Lace Tie Shirt Blue,공통,115.0,83.0,32.0,11942336.0625,8209795.0,3732541.0625,103846.40054347826,115.0,83.0,32.0,2025-01-03,24 08 FW
Shade Tied Dress Charcoal,공통,115.0,68.0,47.0,15089134.701388888,8092000.0,6997134.701388889,131209.86696859903,114.0,68.0,46.0,2025-09-10,25 FW 01
Knit Highneck Double Jacket Dark Gray,공통,112.0,102.0,10.0,14029234.5,12342000.0,1687234.5000000002,125261.02232142857,112.0,102.0,10.0,2026-02-05,26 VT
Washed Leopard Pillow Bag Pink,공통,110.0,62.0,48.0,18663547.833333336,8645000.0,10018547.833333334,169668.6166666667,110.0,62.0,48.0,2025-12-14,25 FW 02
