상품명,채널구분,통합판매수량,국내판매수량,해외판매수량,통합매출_KRW,국내매출_KRW,해외매출_KRW환산,평균단가_KRW,총주문건수,국내주문건수,해외주문건수,최초판매일,시즌
Heart Puffer Jacket Burgundy,공통,36.0,31.0,5.0,4894592.5,4129500.0,765092.5,135960.90277777778,36.0,31.0,5.0,2025-01-05,24 08 FW
Milky Way Leg Warmer Black,공통,36.0,27.0,9.0,1239303.8928571427,486960.0,752343.8928571428,34425.10813492063,35.0,26.0,9.0,2025-07-04,25 SS 03
My Little Star L/S Chocolate,공통,36.0,30.0,6.0,1653740.7121212122,1201538.0,452202.71212121216,45937.242003367006,36.0,30.0,6.0,2025-04-11,25 SS 01
My Little Star Shorts White,공통,36.0,29.0,7.0,2262240.861111111,1755660.0,506580.8611111111,62840.02391975308,36.0,29.0,7.0,2025-07-02,25 SS 03
Unite Check Jacket Navy,공통,36.0,19.0,17.0,3582605.1,1637520.0,1945085.1,99516.80833333333,36.0,19.0,17.0,2025-04-09,25 SS 01
Zzz Baby Sheeps Pajama Crop Pants Ivory,공통,36.0,27.0,9.0,2392325.8333333335,1358500.0,1033825.8333333334,66453.49537037038,34.0,25.0,9.0,2025-12-14,25 FW 02
Boucle Check Hoodie Jacket Navy,공통,35.0,31.0,4.0,5542753.333333333,4944000.0,598753.3333333334,158364.38095238095,35.0,31.0,4.0,2025-12-19,25 FW 02
Heart Puffer Jacket Matte Black,공통,35.0,33.0,2.0,4875512.5,4575000.0,300512.5,139300.35714285713,35.0,33.0,2.0,2025-01-03,24 08 FW
Love Message One Shoulder L/S Ivory,공통,34.0,29.0,5.0,1572353.0,1040000.0,532353.0,46245.67647058824,34.0,29.0,5.0,2026-02-06,26 VT
Buttons Angel Tee White,공통,33.0,29.0,4.0,1676186.606060606,1418990.0,257196.60606060605,50793.53351698806,33.0,29.0,4.0,2025-05-17,25 SS 02
Ragged Scarf Check Shirts Navy,공통,32.0,25.0,7.0,3695333.527777778,2717000.0,978333.5277777778,115479.17274305556,31.0,24.0,7.0,2025-09-10,25 FW 01
Belted Highneck Warmer Faux Fur Jacket Black,공통,33.0,27.0,6.0,4439355.166666667,3691450.0,747905.1666666666,134525.91414141416,33.0,27.0,6.0,2025-12-18,25 FW 02
Rosie Woolly Off Shouler Cream,공통,32.0,21.0,11.0,2668372.0,1303400.0,1364972.0,83386.625,32.0,21.0,11.0,2026-02-08,26 VT
Stripe Hoodie Cardigan Ivory,공통,32.0,29.0,3.0,2960561.6666666665,2618700.0,341861.6666666666,92517.55208333333,32.0,29.0,3.0,2025-01-05,24 홀리데이컬렉션
Hand Warmer Hairy Cozy Stripe L/S Brown,공통,31.0,13.0,18.0,3028030.625,854100.0,2173930.625,97678.40725806452,31.0,13.0,18.0,2025-12-14,25 FW 02
Buttons Collar Dress Black,공통,31.0,29.0,2.0,3069845.0,2853070.0,216775.0,99027.25806451614,31.0,29.0,2.0,2025-05-17,25 SS 02
Logo Tee White,공통,31.0,30.0,1.0,1169970.0,1103850.0,66120.0,37740.967741935485,31.0,30.0,1.0,2025-02-13,캐리오버
Flying Heaven Slim Tee White,공통,31.0,21.0,10.0,1196342.973809524,503700.0,692642.9738095239,38591.70883256529,31.0,21.0,10.0,2025-05-20,25 SS 02
Circle Sleeveless Navy,공통,30.0,26.0,4.0,900575.4166666667,654450.0,246125.4166666667,30019.18055555556,30.0,26.0,4.0,2025-04-22,캐리오버
Check Twin Buttons Shorts Green,공통,30.0,18.0,12.0,1742761.0921717172,966800.0,775961.0921717172,58092.036405723906,30.0,18.0,12.0,2025-05-18,25 SS 02
Angel Slim Tee White,공통,30.0,23.0,7.0,1043415.5,564495.0,478920.50000000006,34780.51666666667,28.0,21.0,7.0,2025-05-20,25 SS 02
Dot Garden Dress Ivory,공통,30.0,20.0,10.0,2053386.7083333335,1172670.0,880716.7083333334,68446.22361111111,30.0,20.0,10.0,2025-07-02,25 SS 03
Belted Highneck Warmer Faux Fur Jacket Brown,공통,30.0,25.0,5.0,3754612.0,3114350.0,640261.9999999999,125153.73333333334,30.0,25.0,5.0,2025-12-16,25 FW 02
Check Twin Bottons Shorts Blue,공통,29.0,24.0,5.0,1560602.5560606061,1277435.0,283167.55606060603,53813.88124346918,29.0,24.0,5.0,2025-05-17,25 SS 02
Bite Apple Sleeveless Gray,공통,28.0,18.0,10.0,1286669.067857143,611695.0,674974.0678571429,45952.46670918368,28.0,18.0,10.0,2025-07-05,25 SS 03
Zzz Baby Sheeps Pajama Top Ivory,공통,29.0,20.0,9.0,2777300.833333333,1692000.0,1085300.8333333333,95768.99425287356,28.0,19.0,9.0,2025-12-16,25 FW 02
Velour Ear Zipup Crop Hoodie Skyblue,공통,27.0,26.0,1.0,2144004.5,2055134.0,88870.5,79407.57407407407,27.0,26.0,1.0,2025-01-07,24 홀리데이컬렉션
Ribbon Logo Sleeveless White,공통,27.0,23.0,4.0,971010.525,745500.0,225510.525,35963.35277777778,26.0,22.0,4.0,2025-01-29,캐리오버
Removable Shearling Knit Hoodie Zip Beige,공통,27.0,23.0,4.0,3714547.333333333,3136500.0,578047.3333333333,137575.82716049382,27.0,23.0,4.0,2025-09-12,25 FW 01
[Setup] Sheer Dot Layerd Tee Beige,공통,27.0,23.0,4.0,1493960.0,1235570.0,258390.0,55331.851851851854,27.0,23.0,4.0,2025-05-18,25 SS 02
[Setup] Ribbon Layerd Tee Green,공통,27.0,23.0,4.0,1434669.6666666665,1175110.0,259559.66666666663,53135.91358024691,27.0,23.0,4.0,2025-05-17,25 SS 02
Bite Apple Sleeveless White,공통,27.0,17.0,10.0,1281018.6717171716,597415.0,683603.6717171717,47445.135989524875,27.0,17.0,10.0,2025-07-04,25 SS 03
Off Shoulder Top Navy,공통,27.0,21.0,6.0,1452540.5,852400.0,600140.5,53797.7962962963,27.0,21.0,6.0,2025-01-05,24 홀리데이컬렉션
Cozy Pom-Pom Dot Shearling Dumble Jumper Brown,해외전용,27.0,0.0,27.0,5710155.583333333,0.0,5710155.583333333,211487.24382716048,27.0,0.0,27.0,2025-12-13,25 FW 02
BadBear Tee White,공통,26.0,23.0,3.0,945724.0625,730100.0,215624.06250000003,36374.002403846156,24.0,21.0,3.0,2025-01-28,배드베어
BadBear Varsity Jacket,공통,26.0,22.0,4.0,3821910.0,3023540.0,798370.0,146996.53846153847,26.0,22.0,4.0,2025-01-13,배드베어
Ribbon Slim Tee White,공통,26.0,16.0,10.0,1168398.1351190477,503880.0,664518.1351190477,44938.38981227107,26.0,16.0,10.0,2025-01-09,캐리오버
Loose Fit Top Charcoal,공통,26.0,19.0,7.0,1331878.7916666667,844680.0,487198.7916666667,51226.107371794875,26.0,19.0,7.0,2025-01-27,24 08 FW
Wood Check Hoodie Shirts Green,공통,26.0,11.0,15.0,3330376.4444444445,1140000.0,2190376.4444444445,128091.40170940172,26.0,11.0,15.0,2025-09-12,25 FW 01
Venatio Layered Belt Skirt Charcoal,공통,26.0,15.0,11.0,2529109.041666667,1308000.0,1221109.0416666667,97273.42467948719,26.0,15.0,11.0,2025-12-18,25 FW 02
BadBear Head Patch Cardigan Cloudy Blue,공통,25.0,22.0,3.0,1036038.8653846154,866250.0,169788.8653846154,41441.554615384615,25.0,22.0,3.0,2025-01-17,배드베어
Dot Garden Dress Mint,공통,25.0,13.0,12.0,1849243.0606060608,748070.0,1101173.0606060608,73969.72242424243,25.0,13.0,12.0,2025-07-22,25 SS 03
Logo Puff Hoodie Blue,공통,25.0,22.0,3.0,1654995.9487179487,1441840.0,213155.94871794872,66199.83794871795,24.0,21.0,3.0,2025-01-02,캐리오버
Loose Fit Top Deep Beige,공통,25.0,13.0,12.0,1417856.8255050504,577450.0,840406.8255050505,56714.27302020202,25.0,13.0,12.0,2025-01-16,24 08 FW
Reversible Grass Check Shearling Jacket Green,공통,24.0,15.0,9.0,2785417.75,1543500.0,1241917.75,116059.07291666667,24.0,15.0,9.0,2025-12-22,25 FW 02
Milky Way Leg Warmer Skyblue,공통,24.0,15.0,9.0,945404.6617965368,279480.0,665924.6617965368,39391.86090818903,24.0,15.0,9.0,2025-07-03,25 SS 03
Shooting Star Buttons Angel Tee White,공통,24.0,23.0,1.0,1307095.0,1218645.0,88450.0,54462.291666666664,24.0,23.0,1.0,2025-05-18,25 SS 02
BadBear Head Patch Cardigan Black,공통,23.0,18.0,5.0,1155649.4166666665,766815.0,388834.4166666666,50245.62681159419,23.0,18.0,5.0,2025-01-04,배드베어
Glaze Vanilla Dimsum Bag,공통,30.0,22.0,8.0,4150071.666666667,2622400.0,1527671.6666666667,138335.72222222222,30.0,22.0,8.0,2026-04-15,26 SS 01
BadBear Varsity Jacket Navy,공통,23.0,22.0,1.0,2673177.1153846155,2597950.0,75227.11538461539,116225.09197324415,23.0,22.0,1.0,2025-02-06,배드베어
Memories Puff Sweatshirt Gray,공통,22.0,20.0,2.0,610231.6666666667,447300.0,162931.6666666667,27737.803030303035,20.0,18.0,2.0,2025-01-12,캐리오버
Loose Fit Top Ivory,공통,21.0,17.0,4.0,1034763.125,738800.0,295963.125,49274.43452380953,21.0,17.0,4.0,2025-01-12,24 08 FW
Velour Pants Navy,공통,21.0,17.0,4.0,1561931.55,1272774.0,289157.55,74377.69285714286,21.0,17.0,4.0,2025-01-03,24 홀리데이컬렉션
Hockey Jersey Blue,공통,20.0,17.0,3.0,2658662.5,2216920.0,441742.5,132933.125,20.0,17.0,3.0,2025-01-05,24 08 FW
BadBear Crop Tee White,공통,20.0,17.0,3.0,657735.1666666667,529299.0,128436.16666666669,32886.75833333334,19.0,17.0,2.0,2025-01-28,배드베어
Ribbon BadBear Tee Black,국내전용,20.0,20.0,0.0,593800.0,593800.0,0.0,29690.0,19.0,19.0,0.0,2025-02-23,배드베어
Velour Pants Skyblue,공통,19.0,18.0,1.0,1275223.25,1233224.0,41999.25,67117.01315789473,19.0,18.0,1.0,2025-01-01,24 홀리데이컬렉션
Classic Logo Cap Navy,공통,19.0,17.0,2.0,373948.5454545454,228735.0,145213.54545454544,19681.502392344497,19.0,17.0,2.0,2025-01-05,캐리오버
Chocolate Blush Mori Dimsum Bag,공통,20.0,7.0,13.0,3314635.125,873600.0,2441035.125,165731.75625,20.0,7.0,13.0,2026-04-11,26 SS 01
Pattern Beanie Skyblue,공통,18.0,13.0,5.0,913566.3333333333,420750.0,492816.3333333333,50753.68518518518,18.0,13.0,5.0,2025-02-18,캐리오버
Ink Dimsum Bag,공통,18.0,12.0,6.0,2513463.0,1430400.0,1083063.0,139636.83333333334,18.0,12.0,6.0,2026-04-11,26 SS 01
Glaze Pearl Gray Dimsum Bag,공통,19.0,12.0,7.0,2600260.0,1430400.0,1169860.0,136855.7894736842,19.0,12.0,7.0,2026-04-11,26 SS 01
BadBear Seoul Varsity Jacket Navy,공통,17.0,15.0,2.0,1700541.5,1549640.0,150901.5,100031.85294117648,16.0,14.0,2.0,2025-02-10,SHOP SEOUL
Off Shoulder Top Pink,공통,17.0,13.0,4.0,813264.1666666667,550500.0,262764.1666666667,47839.068627450986,17.0,13.0,4.0,2025-01-05,24 홀리데이컬렉션
Flora Lace Skirt Baby Pink,공통,16.0,14.0,2.0,1006077.0833333333,796250.0,209827.0833333333,62879.81770833333,16.0,14.0,2.0,2026-02-07,26 VT
Logo Beanie Skyblue,공통,15.0,11.0,4.0,399683.7954545454,132750.0,266933.7954545454,26645.58636363636,15.0,11.0,4.0,2025-04-25,캐리오버
Check Beach Jacket Skyblue,공통,14.0,12.0,2.0,1068033.75,884500.0,183533.75,76288.125,14.0,12.0,2.0,2025-01-10,캐리오버
Logo Beanie Navy,국내전용,14.0,14.0,0.0,188325.0,188325.0,0.0,13451.785714285714,14.0,14.0,0.0,2025-04-23,캐리오버
Velour Zipup Crop Jersey Navy,공통,14.0,13.0,1.0,1346765.0,1210900.0,135865.0,96197.5,14.0,13.0,1.0,2025-01-10,24 홀리데이컬렉션
Logo Pull Zip Hoodie Navy,공통,14.0,11.0,3.0,1437762.5,1188000.0,249762.5,102697.32142857143,14.0,11.0,3.0,2025-01-03,캐리오버
Ribbon BadBear Tee White,공통,13.0,11.0,2.0,569169.5,367750.0,201419.5,43782.269230769234,12.0,10.0,2.0,2025-01-04,배드베어
Logo Crop Zipup Jersey Pink,공통,13.0,10.0,3.0,655886.9108391609,438600.0,217286.91083916085,50452.83929532007,13.0,10.0,3.0,2025-02-06,캐리오버
Silky Babydoll Dress Ivory,공통,15.0,9.0,6.0,2352353.333333333,1260600.0,1091753.3333333333,156823.55555555553,15.0,9.0,6.0,2026-02-13,26 VT
Butter Dimsum Bag,공통,15.0,11.0,4.0,2125520.0,1311200.0,814320.0,141701.33333333334,15.0,11.0,4.0,2026-04-13,26 SS 01
Doze Lace Sleeveless Mint,공통,14.0,12.0,2.0,714678.5714285714,492000.0,222678.5714285714,51048.469387755096,14.0,12.0,2.0,2026-04-12,26 SS 01
PPL Cap Black,공통,11.0,10.0,1.0,235320.0,175000.0,60320.0,21392.727272727272,10.0,9.0,1.0,2025-01-05,캐리오버
Cream Puff Dimsum Bag,공통,13.0,6.0,7.0,2015487.5,715200.0,1300287.5,155037.5,13.0,6.0,7.0,2026-04-11,26 SS 01
Berry BadBear Slim Tee White,공통,11.0,10.0,1.0,469255.0,394000.0,75255.0,42659.545454545456,11.0,10.0,1.0,2025-01-04,배드베어
Muddy Ribbon Dress Brown,공통,11.0,6.0,5.0,1084511.875,546000.0,538511.875,98591.98863636363,11.0,6.0,5.0,2025-01-10,24 08 FW
Logo Sweat Pants Ivory,공통,10.0,7.0,3.0,713849.25,383590.0,330259.25,71384.925,10.0,7.0,3.0,2025-02-26,캐리오버
Logo Crop Sweatshirt Charcoal,공통,10.0,9.0,1.0,296090.0,217500.0,78590.0,29609.0,10.0,9.0,1.0,2025-01-10,캐리오버
[Setup] Endot Blazer Jacket Navy,국내전용,9.0,9.0,0.0,1573656.0,1573656.0,0.0,174850.66666666666,8.0,8.0,0.0,2025-05-17,25 SS 01
BadBear Key Chain,공통,9.0,4.0,5.0,592741.4166666666,100000.0,492741.4166666666,65860.1574074074,9.0,4.0,5.0,2025-05-06,배드베어
BadBear Slim Tee White,공통,9.0,5.0,4.0,319834.85714285716,172200.0,147634.85714285713,35537.20634920635,7.0,5.0,2.0,2025-04-28,배드베어
BadBear Ringer Slim Tee Skyblue,공통,9.0,3.0,6.0,450511.3571428572,107750.0,342761.3571428572,50056.81746031747,8.0,3.0,5.0,2025-07-07,배드베어
BadBear Head Patch Cardigan Grey,공통,9.0,7.0,2.0,485311.55,294000.0,191311.55,53923.50555555555,9.0,7.0,2.0,2025-01-04,배드베어
Logo Beanie Cool Grey,공통,9.0,6.0,3.0,443613.3333333334,139500.0,304113.3333333334,49290.37037037037,9.0,6.0,3.0,2025-01-10,캐리오버
BadBear Slim Tee Blue,공통,9.0,8.0,1.0,265802.0,226420.0,39382.0,29533.555555555555,9.0,8.0,1.0,2025-03-10,배드베어
Venatio Layered Belt Skirt Brown,공통,8.0,4.0,4.0,935396.5,432000.0,503396.5,116924.5625,8.0,4.0,4.0,2025-12-16,25 FW 02
Check Beach Shorts Skyblue,공통,8.0,7.0,1.0,275306.4,233500.0,41806.4,34413.3,8.0,7.0,1.0,2025-01-01,캐리오버
BadBear Ringer Slim Tee Navy,국내전용,8.0,8.0,0.0,204750.0,204750.0,0.0,25593.75,8.0,8.0,0.0,2025-04-20,배드베어
Logo Sweat Pants Navy,공통,8.0,7.0,1.0,614430.0,538450.0,75980.0,76803.75,8.0,7.0,1.0,2025-01-08,캐리오버
Heart Puffer Jacket City Black,국내전용,7.0,7.0,0.0,1037000.0,1037000.0,0.0,148142.85714285713,7.0,7.0,0.0,2025-01-12,24 08 FW
Rush Drapey Snap One Shoulder Top Gray,공통,7.0,3.0,4.0,695431.5714285714,213000.0,482431.57142857136,99347.36734693877,7.0,3.0,4.0,2026-04-13,26 SS 01
BadBear Seoul Hoodie Navy,공통,7.0,6.0,1.0,361023.3333333334,237000.0,124023.33333333336,51574.76190476191,6.0,5.0,1.0,2025-10-08,SHOP SEOUL
BadBear Seoul Varsity Jacket Blue,공통,7.0,6.0,1.0,651092.5,503700.0,147392.5,93013.21428571429,7.0,6.0,1.0,2025-03-18,SHOP SEOUL
BadBear Crop Top Black,공통,7.0,6.0,1.0,217586.25,132000.0,85586.25,31083.75,7.0,6.0,1.0,2025-01-10,배드베어
Tiered Lace Capri Pants Vanilla,공통,7.0,5.0,2.0,577678.5714285714,355000.0,222678.5714285714,82525.51020408163,7.0,5.0,2.0,2026-04-13,26 SS 01
Graffiti Sweat Pants Charcoal,국내전용,6.0,6.0,0.0,267890.0,267890.0,0.0,44648.333333333336,6.0,6.0,0.0,2025-01-15,캐리오버
B Patch College Hoodie Black,국내전용,6.0,6.0,0.0,150495.0,150495.0,0.0,25082.5,6.0,6.0,0.0,2025-05-01,캐리오버
BadBear Hug Tee White,공통,6.0,3.0,3.0,335209.9642857143,121800.0,213409.9642857143,55868.32738095239,6.0,3.0,3.0,2025-04-03,배드베어
Classic Logo Cap Black,공통,6.0,3.0,3.0,322326.5375,85800.0,236526.5375,53721.08958333333,6.0,3.0,3.0,2025-02-06,캐리오버
Suede Bao Bag Black,국내전용,6.0,6.0,0.0,414600.0,414600.0,0.0,69100.0,6.0,6.0,0.0,2025-01-01,24 08 FW
Dotty Tutu Mini Dress Dusty Pink,공통,6.0,5.0,1.0,501178.5714285714,380000.0,121178.57142857142,83529.76190476191,6.0,5.0,1.0,2026-04-13,26 SS 01
B Patch College Hoodie Navy,공통,6.0,5.0,1.0,234587.75,161950.0,72637.75,39097.958333333336,6.0,5.0,1.0,2025-08-18,캐리오버
Graffiti Tee White,국내전용,6.0,6.0,0.0,127050.0,127050.0,0.0,21175.0,3.0,3.0,0.0,2025-04-25,캐리오버
BadBear Cap Black,공통,5.0,4.0,1.0,161042.0,121660.0,39382.0,32208.4,5.0,4.0,1.0,2025-04-24,배드베어
Bond Bunny Crop Tee Lime,공통,5.0,3.0,2.0,182575.625,58800.0,123775.625,36515.125,5.0,3.0,2.0,2025-02-08,캐리오버
Graffiti Tee Black,국내전용,5.0,5.0,0.0,113190.0,113190.0,0.0,22638.0,5.0,5.0,0.0,2025-04-24,캐리오버
Doze Lace Sleeveless Neo Dot,공통,7.0,6.0,1.0,379178.5714285714,258000.0,121178.57142857142,54168.36734693877,7.0,6.0,1.0,2026-04-13,26 SS 01
BadBear Seoul Tee Black,공통,5.0,4.0,1.0,234550.0,141750.0,92800.0,46910.0,5.0,4.0,1.0,2025-03-01,SHOP SEOUL
Dotty Tutu Mini Dress Misty Blue,국내전용,6.0,6.0,0.0,456000.0,456000.0,0.0,76000.0,6.0,6.0,0.0,2026-04-15,26 SS 01
BadBear Hug Patch Crop Zipup Hoodie Navy,공통,5.0,3.0,2.0,303585.44871794875,167700.0,135885.44871794875,60717.08974358975,5.0,3.0,2.0,2025-02-01,배드베어
Ribbon BadBear Ringer Slim Tee White,공통,5.0,4.0,1.0,179712.85714285713,137000.0,42712.85714285714,35942.57142857143,5.0,4.0,1.0,2025-04-24,배드베어
Rush Drapey Snap One Shoulder Top Ivory,국내전용,7.0,7.0,0.0,392000.0,392000.0,0.0,56000.0,7.0,7.0,0.0,2026-04-17,26 SS 01
Logo Pull Zip Hoodie Blue,공통,5.0,3.0,2.0,433300.0,297000.0,136300.0,86660.0,5.0,3.0,2.0,2025-01-12,캐리오버
Lullaby Satin Lace Top Lemon,국내전용,5.0,5.0,0.0,415000.0,415000.0,0.0,83000.0,5.0,5.0,0.0,2026-04-15,26 SS 01
Logo Crop Zipup Jersey Blue,공통,4.0,3.0,1.0,168807.5,116100.0,52707.5,42201.875,4.0,3.0,1.0,2025-01-15,캐리오버
Dot Buttons Knit Double Gray Setup,공통,4.0,2.0,2.0,453547.6778846154,282800.0,170747.67788461538,113386.91947115384,4.0,2.0,2.0,2025-04-29,25 SS 01
Baby BadBear Oversized Tee White,국내전용,4.0,4.0,0.0,112700.0,112700.0,0.0,28175.0,4.0,4.0,0.0,2025-01-16,배드베어
BadBear Slim Tee Black,공통,4.0,3.0,1.0,200680.0,87000.0,113680.0,50170.0,4.0,3.0,1.0,2025-03-16,배드베어
Dot Buttons Knit Double Navy Setup,국내전용,4.0,4.0,0.0,565600.0,565600.0,0.0,141400.0,4.0,4.0,0.0,2025-04-23,25 SS 01
Endot Blazer Jacket Navy Setup,국내전용,4.0,4.0,0.0,873600.0,873600.0,0.0,218400.0,4.0,4.0,0.0,2025-04-23,25 SS 01
Endot Blazer Jacket Navy Set Up,해외전용,3.0,0.0,3.0,550695.5,0.0,550695.5,183565.16666666666,3.0,0.0,3.0,2025-04-23,25 SS 01
Fairy Tale Side Tie Skirt White,국내전용,3.0,3.0,0.0,330000.0,330000.0,0.0,110000.0,3.0,3.0,0.0,2026-04-12,26 SS 01
Pore Half Knit Top Baby Mint,국내전용,3.0,3.0,0.0,207000.0,207000.0,0.0,69000.0,3.0,3.0,0.0,2026-04-11,26 SS 01
Baby BadBear Oversized Tee Skyblue,공통,3.0,2.0,1.0,115882.5,61870.0,54012.5,38627.5,3.0,2.0,1.0,2025-04-24,배드베어
Ribbon Crop Jacket Navy,국내전용,3.0,3.0,0.0,462500.0,462500.0,0.0,154166.66666666666,3.0,3.0,0.0,2025-01-08,캐리오버
Ribbon Crop Sweatshirt Navy,국내전용,3.0,3.0,0.0,102600.0,102600.0,0.0,34200.0,3.0,3.0,0.0,2025-04-23,캐리오버
BadBear Ringer Slim Tee Blue,공통,3.0,1.0,2.0,164868.62499999997,29000.0,135868.62499999997,54956.20833333332,3.0,1.0,2.0,2025-02-10,배드베어
BadBear Photo Card Keyring,공통,3.0,1.0,2.0,201461.66666666666,22000.0,179461.66666666666,67153.88888888889,3.0,1.0,2.0,2025-02-01,배드베어
Logo Sweat Pants Skyblue,국내전용,3.0,3.0,0.0,80100.0,80100.0,0.0,26700.0,3.0,3.0,0.0,2025-01-01,캐리오버
Ribbon Sleeveless White,국내전용,3.0,3.0,0.0,111150.0,111150.0,0.0,37050.0,3.0,3.0,0.0,2025-01-09,캐리오버
BadBear Seoul Slim Tee White,공통,3.0,1.0,2.0,140799.35714285716,29400.0,111399.35714285714,46933.11904761905,3.0,1.0,2.0,2025-02-10,SHOP SEOUL
Punk Crop Top Gray,국내전용,2.0,2.0,0.0,32900.0,32900.0,0.0,16450.0,2.0,2.0,0.0,2025-02-08,캐리오버
DJ BadBear Graphic Poster Set,해외전용,2.0,0.0,2.0,171908.375,0.0,171908.375,85954.1875,2.0,0.0,2.0,2025-12-02,배드베어
Doze Lace Sleeveless White,국내전용,2.0,2.0,0.0,82000.0,82000.0,0.0,41000.0,2.0,2.0,0.0,2026-04-12,26 SS 01
Dreamy Rose Cardigan Oatmeal,국내전용,2.0,2.0,0.0,220000.0,220000.0,0.0,110000.0,2.0,2.0,0.0,2026-04-18,26 SS 01
Dreamy Rose Cardigan White,공통,2.0,1.0,1.0,211500.0,110000.0,101500.0,105750.0,2.0,1.0,1.0,2026-04-13,26 SS 01
Endot Blazer Jacket Charcoal Setup,국내전용,2.0,2.0,0.0,436800.0,436800.0,0.0,218400.0,2.0,2.0,0.0,2025-04-25,25 SS 01
BadBear Crop Sweatshirt Navy,공통,2.0,1.0,1.0,93812.5,41250.0,52562.5,46906.25,2.0,1.0,1.0,2025-02-02,배드베어
Endot Blazer Jacket Charcoal Set Up,해외전용,2.0,0.0,2.0,282731.875,0.0,282731.875,141365.9375,2.0,0.0,2.0,2025-05-04,25 SS 01
[Setup] Dot Buttons Knit Double Gray,국내전용,2.0,2.0,0.0,251300.0,251300.0,0.0,125650.0,2.0,2.0,0.0,2025-05-24,25 SS 01
BadBear Face Smart Tok,해외전용,2.0,0.0,2.0,104645.05,0.0,104645.05,52322.525,2.0,0.0,2.0,2025-11-16,배드베어
BadBear Graphic Hoodie Grey,국내전용,2.0,2.0,0.0,97900.0,97900.0,0.0,48950.0,2.0,2.0,0.0,2025-01-15,캐리오버
BadBear Slim Tee Skyblue,해외전용,2.0,0.0,2.0,111614.95833333334,0.0,111614.95833333334,55807.47916666667,2.0,0.0,2.0,2025-07-15,배드베어
Ribbon Blossom Crop Jacket White,국내전용,2.0,2.0,0.0,261000.0,261000.0,0.0,130500.0,2.0,2.0,0.0,2025-02-08,캐리오버
BadBear Head Patch Cardigan Navy,공통,2.0,1.0,1.0,116385.0,42000.0,74385.0,58192.5,2.0,1.0,1.0,2025-01-14,배드베어
BadBear Seoul Stacking Mug,공통,2.0,1.0,1.0,78239.2,23000.0,55239.2,39119.6,2.0,1.0,1.0,2025-05-21,SHOP SEOUL
BadBear Heart Cap Green,국내전용,2.0,2.0,0.0,50700.0,50700.0,0.0,25350.0,2.0,2.0,0.0,2025-02-02,배드베어
Lullaby Satin Lace Top Coral,국내전용,2.0,2.0,0.0,166000.0,166000.0,0.0,83000.0,2.0,2.0,0.0,2026-04-14,26 SS 01
[Setup] Dot Buttons Knit Double Navy,국내전용,1.0,1.0,0.0,141400.0,141400.0,0.0,141400.0,1.0,1.0,0.0,2025-05-17,25 SS 01
[Setup] Endot Blazer Jacket Charcoal,국내전용,1.0,1.0,0.0,218400.0,218400.0,0.0,218400.0,1.0,1.0,0.0,2025-05-21,25 SS 01
Cotton Cargo Skirt Pants Navy,해외전용,1.0,0.0,1.0,138910.0,0.0,138910.0,138910.0,1.0,0.0,1.0,2025-05-02,캐리오버
Setup Ribbon Layerd Tee White,해외전용,1.0,0.0,1.0,41806.4,0.0,41806.4,41806.4,1.0,0.0,1.0,2025-05-19,25 SS 02
Logo Zipup Jersey Blue,국내전용,1.0,1.0,0.0,44700.0,44700.0,0.0,44700.0,1.0,1.0,0.0,2025-02-05,캐리오버
BadBear Art Toy #2,해외전용,1.0,0.0,1.0,136336.25,0.0,136336.25,136336.25,1.0,0.0,1.0,2025-04-25,배드베어
Pattern Beanie Midnight,국내전용,1.0,1.0,0.0,22500.0,22500.0,0.0,22500.0,1.0,1.0,0.0,2025-01-28,캐리오버
BadBear Seoul Hoodie White,국내전용,1.0,1.0,0.0,79000.0,79000.0,0.0,79000.0,1.0,1.0,0.0,2025-08-27,SHOP SEOUL
Racing Crop Tee Black,해외전용,1.0,0.0,1.0,76106.875,0.0,76106.875,76106.875,1.0,0.0,1.0,2025-02-25,캐리오버
Heart Puffer Pouch Sleeve City Black,국내전용,1.0,1.0,0.0,55000.0,55000.0,0.0,55000.0,1.0,1.0,0.0,2025-04-01,24 08 FW
Ribbon BadBear Crop Hoodie White,국내전용,1.0,1.0,0.0,33600.0,33600.0,0.0,33600.0,1.0,1.0,0.0,2025-01-30,배드베어
BadBear Graphic Cushion,국내전용,1.0,1.0,0.0,63750.0,63750.0,0.0,63750.0,1.0,1.0,0.0,2025-12-21,배드베어
Fairy Tale Side Tie Skirt Lemon,해외전용,1.0,0.0,1.0,121178.57142857142,0.0,121178.57142857142,121178.57142857142,1.0,0.0,1.0,2026-04-13,26 SS 01
Ribbon BadBear Rubber Keyring,해외전용,1.0,0.0,1.0,72637.75,0.0,72637.75,72637.75,1.0,0.0,1.0,2025-12-08,배드베어
BadBear Heart Cap Black,국내전용,1.0,1.0,0.0,26000.0,26000.0,0.0,26000.0,1.0,1.0,0.0,2025-07-05,배드베어
Lettering Crop Sweatshirt Navy,국내전용,1.0,1.0,0.0,22500.0,22500.0,0.0,22500.0,1.0,1.0,0.0,2025-01-08,캐리오버
Bear Ear Zipup Crop Hoodie White,국내전용,1.0,1.0,0.0,139000.0,139000.0,0.0,139000.0,1.0,1.0,0.0,2025-03-31,캐리오버
Mocha Dimsum Bag,해외전용,2.0,0.0,2.0,407160.0,0.0,407160.0,203580.0,2.0,0.0,2.0,2026-04-21,26 SS 01
